Target,Year,Uniprot,ProteinName,Resolution,pIC50,Unit,Molecule ID
4tln,1982,P00800,THERMOLYSIN,2.30,3.72,Ki=190uM,LNO
2tpi,1982,P00760,TRYPSINOGEN,2.10,4.31,Kd=49uM,2-mer
5tln,1982,P00800,THERMOLYSIN,2.30,6.37,Ki=0.43uM,BAN
4cts,1984,P00889,CITRATE SYNTHASE,2.90,5.0,Kd<10uM,OAA
6rsa,1986,P61823,RIBONUCLEASE A,NMR,4.4,Ki=40uM,UVC
6cha,1987,P00766,ALPHA CHYMOTRYPSIN A,1.80,4.4,Ki=40uM,PBA
1rnt,1987,P00651,RIBONUCLEASE T1,1.90,5.19,Kd=6.5uM,2GP
4ts1,1989,P00952,TYROSYL-TRNA SYNTHETASE,2.50,4.94,Kd=11.6uM,TYR
4tmn,1989,P00800,THERMOLYSIN,1.70,10.17,Ki=0.068nM,0PK
5tmn,1989,P00800,THERMOLYSIN,1.60,8.04,Ki=9.1nM,0PJ
1tlp,1989,P00800,THERMOLYSIN,2.30,7.55,Ki=28nM,RDF
2tmn,1989,P00800,THERMOLYSIN,1.60,5.89,Ki=1.3uM,0FA
1tmn,1989,P00800,THERMOLYSIN,1.90,7.3,Ki=50nM,0ZN
1p04,1990,P00778,ALPHA-LYTIC PROTEASE,2.55,7.4,Ki=40nM,5-mer
1p03,1990,P00778,ALPHA-LYTIC PROTEASE,2.15,8.19,Ki=6.4nM,5-mer
3at1,1990,P0A786,ASPARTATE CARBAMOYLTRANSFERASE (T STATE),2.80,3.18,Ki=0.66mM,PCT
1p01,1990,P00778,ALPHA-LYTIC PROTEASE,2.00,9.46,Ki=0.35nM,0EG
4fab,1990,P01865,ANTIBODY IGG2A-KAPPA 4-4-20 FAB (LIGHT CHAIN),2.70,8.06,Kd=8.8nM,FLU
1p10,1990,P00778,ALPHA-LYTIC PROTEASE,2.25,6.7,Ki=200nM,5-mer
1p02,1990,P00778,ALPHA-LYTIC PROTEASE,2.00,7.17,Ki=67nM,5-mer
1p05,1990,P00778,ALPHA-LYTIC PROTEASE,2.10,5.96,Ki=1100nM,5-mer
1p06,1990,P00778,ALPHA-LYTIC PROTEASE,2.34,6.27,Ki=540nM,5-mer
